id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
100D3200_DSC_0452,"lgbtq,resistance,assertive,rage,demand",,"text, font, sign, signage, number",,,,,,,,"still here, still queer, get over it",,"Still Here, Get Over It",demand,famous protest slogan,"assertive, rage","lgbtq, resistance","block, hand-written",text,marker
100D3200_DSC_0453,"resistance,assertive,demand",,"green, text, font, design, number",,,,,,,,"they tried to bury us they didn't know we were seeds",plant,We are Seed,demand,"pop culture, poetry quote, poet",assertive,resistance,"block, hand-written","text, illustration",paint
100D3200_DSC_0454,"resistance,assertive,demand",,"text, font, design, calligraphy, writing",,,,,,,,"they tried to bury us  they didn't know we were seeds",,They Tried and Failed,demand,"pop culture, poetry quote, poet",assertive,resistance,hand-written,text,marker
100D3200_DSC_0455,"black lives matter,climate,earth,environment,immigration,lgbtq,love,reproductive rights,women's rights,rage,demand",,"pink, text, poster, font, advertising",,,,,,,,"silence is violence, equality, planned parenthood, water is life, no human is illegal, climate change, black lives amtter","mouth, hand, peace sign, gender sign, heart",Silence is Violence,demand,famous protest slogan,rage,"black lives matter, climate, earth, environment, immigration, lgbtq, love, reproductive rights, women's rights","block, hand-written","text, illustration, drawing",marker
100D3200_DSC_0456,"resistance,assertive,solidarity",,"text, font, sign, signage, number",,,why we march,,,,,We march to elevate all people,,March for All,solidarity,other,assertive,resistance,"block, hand-written",text,marker
100D3200_DSC_0457,"hate,assertive,demand",,"text, number, font, product, sign",Porotherm,,"stop, hate",,,,,stop the hate,,Stop The Hate,demand,other,assertive,hate,block,text,print
100D3200_DSC_0458,"trump,resistance,assertive,demand",,"text, font, signage, sign, number",,,,,,,,Resist the Trump Agenda,,Resist Trump,demand,other,assertive,"trump, resistance","block, sans serif",text,print
100D3200_DSC_0459,"immigration,wealth inequality,assertive,complaint",,"green, text, poster, font, cartoon, illustration, art, grass, human behavior, advertising",,,"make america great again, campaign slogan ",,,,,"immigrants didn't un-great america, wall street and corporations did and still do","man with money, money, business person",What Made America Shitty,complaint,things trump said,assertive,"immigration, wealth inequality","block, hand-written","text, illustration","drawing, marker"
100D3200_DSC_0460,"immigration,trump,trump taxes,taxes,assertive,insults,demand,complaint",,"font, poster, advertising, banner, signage",,,,,,,,no human is illegal except maybe you Mr. sex offender tax evader treasonous scammer robber president,,Humans Are Not Illegal,"demand, complaint",famous protest slogan,"assertive, insults","immigration, trump, trump taxes, taxes","block, hand-written",text,marker
100D3200_DSC_0461,"immigration,trump,assertive,demand",,"blue, red, text, font, sign",,,"build the wall, the wall",,,,,build bridges not walls,,Build Bridges ,demand,"things trump said, pun",assertive,"immigration, trump","block, hand-written",text,marker
100D3200_DSC_0462,"hillary clinton,women's rights,resistance,assertive,solidarity",,"text, font, whiteboard, angle, writing",,,,,,,,"Women's rights are human rights",,"Human and Women's Rights",solidarity,"hillary, quote",assertive,"hillary clinton, women's rights, resistance",hand-written,text,marker
100D3200_DSC_0463,"resistance,other,humor,meta,indignation,demand",,"green, text, font, number, material",,,signs about signs,,,,,not usually a sign person but jeez,"emoji, annoyed face","I Don't Usually Make Signs",demand,other,"humor, meta, indignation","resistance, other","block, hand-written","text, illustration",marker
100D3200_DSC_0464,"resistance,humor,indignation,complaint",,"blue, purple, text, handwriting, font",,,"meme,protest",,,,,Not usually a sign type of person but jeez,,But Jeez,complaint,popular memes,"humor, indignation",resistance,cursive,text,marker
100D3200_DSC_0465,"children,earth,environment,assertive,complaint",,"text, font, poster, design, drawing",,,,,,,,save the earth for our kids,earth,Save the Earth,complaint,command,assertive,"children, earth, environment","block, hand-written","text, illustration",marker
100D3200_DSC_0466,"feminism,love,loving,solidarity",,"text, font, design, art, pattern",,,"strong,women,girls,feminism,unity,families",,,,,"Here's To Strong Women / May We Know Them May We Be Them May We Raise Them",decoration around text,"Here's to Strong Women ",solidarity,internet,loving,"feminism, love",typeface (imitative),text,crayola
100D3200_DSC_0467,"hillary clinton,trump,assertive,solidarity",,"text, poster, font, art, advertising, sign, visual arts",,,"nasty women, nasty woman",,,,,nasty women make history,,Nasty Woman Make History ,solidarity,things trump said,assertive,"hillary clinton, trump","block, hand-written","text, drawing","marker, glitter"
100D3200_DSC_0468,"trump,rage,demand",,"green, sign, poster, advertising, signage",,,"make america great again, campaign slogan ",,,,,trump care make america sick again,"pill bottle, trump, medical signal",Make America Sick Again,demand,things trump said,rage,trump,hand-written,"text, illustration, photography, collage","print, collage, paint"
100D3200_DSC_0469,"putin,trump,assertive,humor,demand",,"green, poster, text, advertising, banner","Donald Duck, Goofy",,,,,,,republicans wanted this donald! how did we get these two?,"donald duck, goof, putin, trmp",Wrong Donald,demand,pop culture,"assertive, humor","putin, trump",hand-written,"text, illustration","print, paint"
100D3200_DSC_0470,"hillary clinton,trump,assertive,complaint,solidarity",,"blue, text, font, poster, art",,,"nasty woman, nasty women",,,,,"you haven't seen nasty yet",trump,"Haven't Seen Nasty Women","complaint, solidarity",things trump said,assertive,"hillary clinton, trump","block, hand-written","text, illustration",paint
100D3200_DSC_0471,"love,trump,resistance,assertive,complaint",,"text, font, handwriting, whiteboard, writing",,,,,,,,greatness goodness,"equal sign, heart",What is Goodness?,complaint,other,assertive,"love, trump, resistance","block, hand-written","text, illustration",marker
100D3200_DSC_0472,"earth,environment,reproductive rights,women's rights,trump,assertive,rage,demand,complaint",,"blue, text, font, purple, handwriting",,,"grab them by the pussy, pussy grabs back",,,,,our rights and our planet are not up for grabs,,Nothing is Up For Grabs ,"demand, complaint",things trump said,"assertive, rage","earth, environment, reproductive rights, women's rights, trump","block, hand-written",text,marker
100D3200_DSC_0473,"feminism,resistance,assertive,loving,solidarity",,"text, collage, fun, human behavior, poster",,,"celebrity,magazine,boston,unity,models",,,,,WE the women of BOSTON stand together in unity,"raised fists; magazine cutouts of women (many famous - oprah, simone biles, actresses from gilmore girls, models)",We the Women of ... Boston,solidarity,pop culture,"assertive, loving","feminism, resistance","typeface (imitative), hand-written","text, photography","marker, collage"
100D3200_DSC_0474,"gender equality,lgbtq,migrant rights,women's rights,wealth inequality,assertive,demand",,"text, font, poster, signage, sign",,,,,,,,justice overcome equality over privilege,,Justice over Comfort,demand,other,assertive,"gender equality, lgbtq, migrant rights, women's rights, wealth inequality","block, hand-written",text,paint
100D3200_DSC_0475,"immigration,indignation,call to action",,"text, font, picture frame, sign",,,"immigration,white,european,hypocrisy",,,,,Your Relatives Came From Somewhere Else Too!!!,,Your Relatives - Front,call to action,historic reference,indignation,immigration,hand-written,text,marker
100D3200_DSC_0476,"immigration,indignation,call to action",,"text, font, picture frame, sign",,,"immigration,white,european,hypocrisy",,,,,Your Relatives Came From Somewhere Else too!!!,,Your Relatives - Back / Duplicate,call to action,historic reference,indignation,immigration,hand-written,text,marker
100D3200_DSC_0477,"trump,assertive,rage,demand",,"pink, text, font, sign, poster, signage, magenta, banner",,,"make america great again, campaign slogan ",,,,,great must be great for all,,Great Must Be Great,demand,things trump said,"assertive, rage",trump,"block, hand-written",text,"marker, duct tape"
100D3200_DSC_0478,"hate,love,trump,assertive,demand,solidarity",,"text, art, modern art, font, design",,,,,,,,love trumps hate,raindow,Love Wins Always,"demand, solidarity",famous protest slogan,assertive,"hate, love, trump","block, decorative, hand-written","text, illustration",marker
100D3200_DSC_0479,"election,resistance,rage,fear,call to action",,"blue, text, handwriting, font, sign",,,"fear,resist,stars",,,,,"If you're not TERRIFIED, you're not paying attention!",stars and stripes,"If You're Not Terrified",call to action,"internet, famous protest slogan","rage, fear","election, resistance",hand-written,text,marker
100D3200_DSC_0480,"election,trump,resistance,assertive,insults,",,"green, text, font, poster, carnivoran",,,,,,,,"brown bear brown bear , shame on me, woefully inadequate nominee!","brown bear, thought bubble",Brown Bear Shame,,"pop culture, book, book reference","assertive, insults","election, trump, resistance","block, hand-written","text, illustration",marker
100D3200_DSC_0481,"feminism,trump,resistance,rage,demand",,"text, font, poster, advertising",,,,,,,,vaginas brought you into this world. vaginas can vote you out.,,In and out,demand,other,rage,"feminism, trump, resistance",hand-written,text,paint
100D3200_DSC_0482,"election,resistance,assertive,insults,demand",,"text, font, signage, poster, sign",,,congress,,,,,progress over congress,,Pro over Con,demand,other,"assertive, insults","election, resistance",hand-written,text,paint
100D3200_DSC_0483,"trump,assertive,demand",,"text, font, advertising, banner",,,,,,,,get your tiny hands out of my reproductive rights,star of david,Star of David,demand,other,assertive,trump,hand-written,"text, illustration","print, paint"
100D3200_DSC_0484,"resistance,assertive,call to action",,"text, font, product, sign, signage",,,"protest,activism",,,,,What do we do? Stand Up / Fight Back,arrow,What do we do?,call to action,famous protest slogan,assertive,resistance,"block, hand-written",text,"marker, paint"
100D3200_DSC_0485,"hillary clinton,feminism,trump,assertive,rage,demand,solidarity",,"advertising, poster, banner, font","Veterans Party of America, We Can Do It! (Rosie the Riveter), We Can Do It! (Rosie the Riveter), We Can Do It! (Rosie the Riveter), Ploegbaas",,"nasty woman, nasty women",,,,,"we can do anything, the future is nasty ","rosie the reviter, gender sign",The Future is Nasty,"demand, solidarity","pop culture, things trump said","assertive, rage","hillary clinton, feminism, trump",hand-written,"text, collage, drawing","print, marker, collage"
100D3200_DSC_0486,"feminism,women's rights,trump,rage,demand",,"text, font, design, line, pattern",,,"feminism,body,autonomy,trump",,,,,My Body is Not Up for Negotiation,,Not Up for Negotiation,demand,things trump said,rage,"feminism, women's rights, trump",hand-written,text,marker
100D3200_DSC_0487,"hate,love,loving,complaint,solidarity",,"blue, text, font, purple, design",,,,,,,,kindess is so much easier,"red hearts, heart","Be Kind. It's Easier ","complaint, solidarity",other,loving,"hate, love",hand-written,"text, illustration",marker
100D3200_DSC_0488,"feminism,women's rights,resistance,assertive,demand",,"blue, text, font, poster, product",,,rosie the riveter,,,,,we can do it,thought bubble,We Can Do This ,demand,"pop culture, famous protest slogan",assertive,"feminism, women's rights, resistance","block, hand-written",text,paint
100D3200_DSC_0489,"resistance,assertive,demand,complaint,solidarity",,"red, text, font, sign, art",,,"spongebob, krusty krab",,,,,krusty krab unfair,,Krusty Krag Unfair,"demand, complaint, solidarity",pop culture,assertive,resistance,"block, hand-written",text,marker
100D3200_DSC_0490,"immigration,trump,assertive,demand,solidarity",,"red, pink, text, font, design",,,"make america great again, campaign slogan ",,,,,immigrants make american great ,,Immigrants Make America Great,"demand, solidarity",things trump said,assertive,"immigration, trump",hand-written,text,marker
100D3200_DSC_0491,"trump,assertive,rage,indignation,demand,complaint,call to action",,"text, font, number, writing, calligraphy",,,"trumpistan, respect, equality, everyone",,,,,Respect + Equality For Everyone No Trumpistan,text,No Trumpistan,"demand, complaint, call to action",things trump said,"assertive, rage, indignation",trump,hand-written,text,marker
100D3200_DSC_0492,"earth,love,loving,call to action",,"text, font, number, product design, calligraphy",,,"imagine,lennon,love,peace,lyrics",,,,,all the people sharing all the world,,all the people sharing all the world,call to action,pop culture,loving,"earth, love",hand-written,text,marker
100D3200_DSC_0493,"love,loving,encouragement",,"text, font, design, product design, product",,,"imagine,lennon,love,peace",,,,,Imagine...,,Imagine...,encouragement,pop culture,loving,love,hand-written,text,marker
100D3200_DSC_0494,"love,loving,solidarity",,"text, font, design, paper, product",,,,,,,,between each sort and type but we are more alike my friends than we are unalike," people holding hands, flower",Alike,solidarity,other,loving,love,hand-written,"text, illustration",drawing
100D3200_DSC_0495,"reproductive rights,women's rights,trump,resistance,rage,demand",,"text, font",,,"grab them by the pussy, pussy grabs back",,,,,pussy grabs back,gender sign,Not Just Another Pussy,demand,things trump said,rage,"reproductive rights, women's rights, trump, resistance",hand-written,"text, illustration",paint
100D3200_DSC_0496,"hillary clinton,trump,assertive,demand",,"line, product design, font, angle, material",,,"nasty woman, nasty women",,,,,I am nasty woman,,I Am I Am,demand,things trump said,assertive,"hillary clinton, trump",hand-written,text,"marker, gold"
100D3200_DSC_0497,"feminism,women's rights,resistance,assertive,humor,demand",,"blue, text, handwriting, font, calligraphy, writing, sign, signage, art, banner",,,"cyndi,lauper,lyrics,rights",,,,,Girls Just Wanna Have Fundamental Rights!,,Girls Just (decorative text),demand,pop culture,"assertive, humor","feminism, women's rights, resistance","cursive, decorative",text,marker
100D3200_DSC_0498,"resistance,loving,encouragement",,"pink, red, text, poster, art, font, design, advertising, signage, graphic design",We the people are greater than fear,,,,,,,"be kind be strong be kind, we the people, hear our voice","mulsim woman in jihab, raised fist",Be All These Things,encouragement,other,loving,resistance,"block, hand-written","text, collage","marker, collage"
100D3200_DSC_0499,"hillary clinton,women's rights,assertive,demand",,"text, font, sign, handwriting, writing, signage, calligraphy",,,,,,,,"Women's rights are human rights",,"Women's Rights are Human Rights",demand,"famous protest slogan, quote",assertive,"hillary clinton, women's rights",hand-written,text,marker
100D3200_DSC_0500,"feminism,assertive,solidarity",,"blue, art, modern art, poster, design",,,,,,,,feminist af,,Super feminist,solidarity,other,assertive,feminism,block,text,"glitter, tape, streamer"
100D3200_DSC_0501,"resistance,assertive,demand",,"pink, text, font, design, handwriting",,,"twitter, hashtag",,,,,#whyimarch i want my voice to be heard!!!,,My voice will be heard,demand,internet,assertive,resistance,hand-written,text,marker
100D3200_DSC_0502,"feminism,resistance,assertive,demand",,"text, font, poster, design, calligraphy",,,"whyimarch,hashtag,consent,assault",,,,,"No ""Means"" No #WhyIMarch #WhyIMarch ",,"No ""Means"" No #WhyIMarch",demand,"internet, famous protest slogan",assertive,"feminism, resistance",hand-written,text,marker
100D3200_DSC_0503,"hillary clinton,women's rights,trump,resistance,rage,demand",,"cat, pink, black, mammal, small to medium sized cats",,,"grab them by the pussy, pussy grabs back, nasty women, nasty woman",,,,,"women's rights are human rights, nasty women unite",black cat,Two things,demand,"things trump said, famous protest slogan",rage,"hillary clinton, women's rights, trump, resistance","block, decorative, hand-written","text, drawing",paint
100D3200_DSC_0504,"trump,free press,assertive,Powerful,call to action",,"text, pink, poster, font, advertising",,,"Free Press, Trump, newspaper cutout",,,,,Proud Member of the Free Press,"Cutouts from Newpaper headlines that range from Trump to single words, such as 'ethics'. It has text that was written with sharpie or marker probably and  a cutout of a small square picture saying ""Women for Maura""",Member of the Free Press,call to action,"things trump said, Commenting on Trump's disregard of the Free Press","assertive, Powerful","trump, free press",hand-written,"text, collage","marker, collage"
100D3200_DSC_0505,"hillary clinton,hate,love,trump,assertive,loving,solidarity",,"text, font, sign, signage, number",,,"love,hate,clinton,campaign,squiggle",,,clinton campaign slogan,,Love Trumpe (Trumps) Hate,,Trumpe,solidarity,pop culture,"assertive, loving","hillary clinton, hate, love, trump","decorative, hand-written",text,marker
100D3200_DSC_0506,"hate,love,loving,demand",,"green, text, yellow, font, poster",,,,,,,,Kindess,,Be Kind,demand,other,loving,"hate, love",hand-written,text,marker
100D3200_DSC_0507,"hate,love,resistance,assertive,loving,demand",,"red, text, font, heart, design",,,,,,,,compassion fuels our strength ,"red hearts, heart",Compassion is fuel,demand,other,"assertive, loving","hate, love, resistance",hand-written,"text, illustration",marker
100D3200_DSC_0508,"resistance,assertive,solidarity",,"text, font, calligraphy, design, product design",,,,,,,,i would rather be a revel than a salve,,A Rebel,solidarity,other,assertive,resistance,hand-written,text,marker
100D3200_DSC_0509,"civil rights,climate,environment,immigration,lgbtq,women's rights,healthcare,assertive,rage,indignation,demand,complaint",,"red, pink, text, handwriting, font, calligraphy, paper, magenta, greeting card, valentine's day",,,"website, trump, home, take",,,,,"You can take them off your Home Page But we wont' let you take them from US *Healthcare *LGBTQ Rights *Fair Immigration Policy *Climate Change Policy *Civil Rights *Women's Rights *Equality For All",text,Take them off your Home Page,"demand, complaint",things trump said,"assertive, rage, indignation","civil rights, climate, environment, immigration, lgbtq, women's rights, healthcare",hand-written,text,marker
100D3200_DSC_0510,"feminism,women's rights,assault,assertive,complaint",,"blue, text, handwriting, font, writing",,,,,,,,"p.s it's called a vulva. it's also called consent. (if not for your disgusting misogyny you'd probably know these truths..)",,P.S,complaint,other,assertive,"feminism, women's rights, assault",hand-written,text,marker
100D3200_DSC_0511,"election,history,humor,complaint",,"text, font, banner, sign, handwriting",,,"election,electoral college,dispute results,humor",,,,,"""How About Best Two-out-of-three?"" ~ The Electoral College ~",,Best two-out-of-three?,complaint,historic reference,humor,"election, history","decorative, sans serif",text,marker
100D3200_DSC_0512,"trump,insults,complaint",,"text, font, signage, sign, advertising",,,"drumpf,drumph,john oliver,insult,trump",,,,,Drumph is a Punk-ass Chump,,Drumph is a Punk-ass Chump,complaint,pop culture,insults,trump,"block, hand-written",text,marker
100D3200_DSC_0513,"feminism,resistance,assertive,humor,insults,demand,complaint",,"text, font, signage, advertising, art",,,"vagina,body feminism,insults,sex",,,,,"I am more than my vagina! (Although you wouldn't know how to use it anyway.)",,"Wouldn't Know how to Use it Anyway","demand, complaint","internet, things trump said","assertive, humor, insults","feminism, resistance","block, cursive",text,marker
100D3200_DSC_0514,"climate,environment,indigenous,assertive,solidarity",,"advertising, technology, font, snout, product",,,,,,,,"nature's voice, you are not alone, native lands, elephants, oceans, endangered species"," polar bear, natives, elephants, oceans, animals",Not Alone,solidarity,famous protest slogan,assertive,"climate, environment, indigenous",hand-written,"text, photography","marker, collage, duct tape"
100D3200_DSC_0515,"election,assertive,complaint",,"text, font, design, calligraphy, art",,,,,,,,roses are red violets are blue the majority of us did not vote for you ,no symbol,A poem,complaint,"pop culture, poem",assertive,election,hand-written,"text, illustration",marker
100D3200_DSC_0516,"resistance,assertive,complaint,solidarity,call to action",,"text, font, graphic design, pattern",,,,,,,,resist existence or expect resistance,,Respect or we will resist,"complaint, solidarity, call to action",other,assertive,resistance,"block, decorative",text,"stickers, sticker letters"
100D3200_DSC_0517,"race,resistance,assertive,rage,demand",,"green, text, yellow, font, poster",,,"racism,white supremacy,systemic",,,,,Dismantle White Supremacy,,"Dismantle White Supremacy (front to I'm No Longer...Angela Davis)",demand,famous protest slogan,"assertive, rage","race, resistance",block,text,marker
100D3200_DSC_0518,"race,resistance,assertive,indignation,call to action",,"text, yellow, font, design, line",,,"davis,quote,activism,bible",,,,,"I'm No Longer Accepting the Things I Cannot Change... I'm Changing the Things I Cannot Accept -Angela Davis",,No Longer Accepting... - Angela Davis (backside to Dismantle White Supremacy),call to action,"pop culture, historic reference","assertive, indignation","race, resistance",hand-written,text,marker
100D3200_DSC_0519,"climate,earth,environment,science,assertive,loving,demand",,"text, purple, font, poster, world",,,"earth,climate,song,science",,,,,This Land is Our Land / Science is Real,earth,This Land is Our Land,demand,"pop culture, famous protest slogan","assertive, loving","climate, earth, environment, science",block,"text, illustration",marker
100D3200_DSC_0520,"hate,resistance,assertive,complaint,solidarity",,"blue, purple, text, violet, font",,,,,,,,we are watching. we resist all hate,eyes,We Are Watching,"complaint, solidarity",other,assertive,"hate, resistance",hand-written,"text, illustration",marker
100D3200_DSC_0521,"hate,love,assertive,complaint,solidarity",,"pink, red, text, font, magenta",,,,,,,,love is stronger than hate,"red hearts, heart",Love is strong,"complaint, solidarity",other,assertive,"hate, love","cursive, hand-written","text, illustration",paint
100D3200_DSC_0522,"resistance,assertive,solidarity",,"yellow, tree, flora, organism, leaf",,,"tree,nature,activism,whyimarch,equality",,,,,I march... / To feel comfortable in my own skin / To be who I am and not who I am forced to be / To be grand and heard NOT silent & alone / For those with no voice to have a voice / For those who want change to have change / For demolishing walls of inequality,tree,"""I march..."" tree",solidarity,famous protest slogan,assertive,resistance,hand-written,"text, illustration","marker, paint"
100D3200_DSC_0523,"earth,environment,assertive,demand",,"text, font, sign, signage",,,"protect,earth,human,enviro",,,,,"Protect Our Planet - It's a Human Right",,"Protect Our Planet - It's a Human Right",demand,famous protest slogan,assertive,"earth, environment",hand-written,text,marker
100D3200_DSC_0524,"hate,love,trump,assertive,solidarity",,"red, pink, text, art, font",,,,,,,,love trumps hate,heart,More Love,solidarity,other,assertive,"hate, love, trump",hand-written,"text, illustration",marker
100D3200_DSC_0525,"hate,love,trump,assertive,demand",,"pink, red, text, purple, font",,,,,,,,love trumps hate,"red hearts, heart, gender signs",No More of this Hate,demand,famous protest slogan,assertive,"hate, love, trump","block, hand-written","text, illustration",marker
100D3200_DSC_0526,"civil rights,earth,gender equality,race,religion,women's rights,assertive,loving,demand,solidarity",,"text, handwriting, font, writing, area, whiteboard, drawing",,,"love, respect, equality, all",,,,,"Love and Respect -All of Humanity -Human Rights -Our home, Planet Earth Equality -All genders -All races -All Religions","peace signs, heart, line of multiethnic stick figures holding hands, religious symbols (cross, crescent, star of David, ohm, ying yang, ",Love and Respect,"demand, solidarity",famous protest slogan,"assertive, loving","civil rights, earth, gender equality, race, religion, women's rights","block, decorative, hand-written","text, drawing",marker
100D3200_DSC_0527,"feminism,lgbtq,police brutality,assertive,indignation,demand",,"text, handwriting, font, writing, calligraphy, whiteboard, sign, art",,,"hashtag,sayhername,trans,violence,police",,,,,"#SayHerName / Brandi Bledsae Shereese Francis Rekia Boyd Alberta Spruill Takira Wilson Rae'lynn THomas Aiyana Stanley-Jones Skye Mackabee Korryn Gaines Kathryn Johnston Jazz Alford Kendra James Alesia Thomas Shelley Frey T.T. Symone Marshall Noony Norwood Sandra Bland Erykah Tijerina Crystal Edmonds Deeniquia Dodds Gynnya McMillen Darnesha Harris Yvette Smith India Monroe Miriam Carey Dee Whigham Malissa Williams Tanisha Anderson Lexxi Sironen",hearts,#Say Her Name,demand,internet,"assertive, indignation","feminism, lgbtq, police brutality","block, hand-written",text,marker
100D3200_DSC_0528,"resistance,assertive,demand",,"text, font, art, design, calligraphy",,,,,,,,we stand together for freedom,,We Stand for Freedom,demand,other,assertive,resistance,"block, hand-written",text,marker
100D3200_DSC_0529,"trump,resistance,rage,insults,demand",,"text, pink, font, handwriting, writing, whiteboard, sign, calligraphy",,,twitter,,,,,leaders not tweeters!,,Tweeters,demand,"internet, things trump said","rage, insults","trump, resistance",hand-written,text,crayola
100D3200_DSC_0530,"feminism,assertive,solidarity",,"text, purple, font, design, banner",,,,,,,,"here's to strong women may we know them may we be them may we raise them",gender sign,Strong Women,solidarity,other,assertive,feminism,block,"text, illustration",marker
100D3200_DSC_0531,"resistance,assertive,solidarity",,"text, orange, font, poster, advertising",,,,,,,,"we won't back down, emily's list",,Women Will Not,solidarity,other,assertive,resistance,sans serif,text,print
100D3200_DSC_0532,"feminism,trump,resistance,assertive,demand",,"blue, text, handwriting, font, writing, line, area, angle, number, sign",,,"rights,grabs,trump,body",,,,,"Our rights aren't up for grabs. And neither are we.","woman's torso, female symbol",And Neither Are We,demand,"things trump said, famous protest slogan",assertive,"feminism, trump, resistance",hand-written,"text, illustration",marker
100D3200_DSC_0533,"history,assertive,demand",,"text, font, blackboard, chalk, slate",,,pledge of allegiance,,,,,"I pledge allegiant to the flag of the united states of america and the republic for which it stands, one nation under god (any every none!) indivisible with liberty and justice for all",,"Justice For All, For All",demand,historic reference,assertive,history,hand-written,text,paint
100D3200_DSC_0534,"feminism,assertive,demand,solidarity",,"red, pink, text, font, design",,,,,,,,pussy power,gender sign,Power from Within ,"demand, solidarity",things trump said,assertive,feminism,hand-written,"text, illustration","print, marker"
100D3200_DSC_0535,"love,assertive,solidarity",,"text, font, design, product design, angle",,,"human,unity",,,,,Human,,Human,solidarity,,assertive,love,hand-written,text,marker
100D3200_DSC_0536,"love,loving,solidarity",,"text, advertising, poster, font, mural",,,"antigone,sophecles,play,love,watercolor,russian",russian/Cyrillic text,,,,"I Wasn't Born to Hate I Was Born to Love / Antigone",,"I Wasn't Born to Hate",solidarity,pop culture,loving,love,"block, hand-written",text,"marker, paint"
100D3200_DSC_0537,"resistance,assertive,demand",,"text, font, calligraphy",,,,,,,,united we stand,,We Stand Together,demand,famous protest slogan,assertive,resistance,"block, cursive, hand-written",text,"marker, glitter, stickers"
100D3200_DSC_0538,"resistance,assertive,demand",,"text, handwriting, font, writing, area, line, design, whiteboard, angle, number",,,,,,,,star treck-style benevolent world govt now!,,Benevolent Gov Now,demand,pop culture,assertive,resistance,hand-written,text,marker
100D3200_DSC_0539,"hillary clinton,feminism,resistance,assertive,demand",,"text, font, sign, poster, signage",,,star wars,,,,,"a woman's place is in the resistance","princess leia, hillary sticker",In the Resistance,demand,"pop culture, hillary, hillary quote, quote",assertive,"hillary clinton, feminism, resistance",hand-written,"text, illustration","marker, crayola"
100D3200_DSC_0540,"trump,resistance,assertive,complaint",,"pink, red, text, font, poster",,,breakup quote,,,,,"it's not me, it's you","trump, trump hair","it's not me, it's you ",complaint,pop culture,assertive,"trump, resistance","block, hand-written","text, illustration","marker, glitter"
100D3200_DSC_0541,"hate,love,resistance,assertive,indignation,encouragement",,"text, signage, font, sign, advertising",,,"continued activism,hashtag,love,heart",,,,,"The Fight Doesn't End / Love trumps Hate / #Keep Moving Forward / Not here Not Now Not Ever","heart, arrows","The Fight Doesn't End",encouragement,"internet, pop culture, famous protest slogan","assertive, indignation","hate, love, resistance","block, hand-written",text,marker
100D3200_DSC_0542,"civil rights,resistance,assertive,call to action",,"text, handwriting, font, writing, calligraphy, angle, number, sign",,,"mlk,quote,complacency,resist",,,mlk quote,,We Will Remember Not the Words of Our Enemies But the Silence of our Friends,,We Will Remember...the silence of our friends,call to action,historic reference,assertive,"civil rights, resistance",hand-written,text,"marker, pen"
100D3200_DSC_0543,"children,election,institutions/supreme court/political parties,resistance,assertive,indignation,encouragement",,"text, font, design, sign, signage, number",,,"young,girl,feminism,heart,voting",assuming a child held this,,,,"In 8 years I'll vote - I'm not just a Pretty Face","heart, stars","I'n 8 Years I'll Vote",encouragement,famous protest slogan,"assertive, indignation","children, election, institutions/supreme court/political parties, resistance","block, hand-written",text,marker
100D3200_DSC_0544,"resistance,assertive,demand",,"red, pink, text, font, design, art, sign, calligraphy, advertising, banner",,,,,,,,R.E.S.P.E.C.T find out  what it means to me ,,Respect,demand,pop culture,assertive,resistance,hand-written,text,marker
100D3200_DSC_0545,"feminism,resistance,assertive,encouragement,solidarity",,"text, handwriting, font, writing, whiteboard",,,"malala,yousafzai,education,quote,activism",,,,,"We realize the importance of our voices only when we've been silenced - Malala Yousafzai",flowers,The Importance of our Voices - Malala,"encouragement, solidarity",historic reference,assertive,"feminism, resistance","cursive, hand-written","text, illustration","marker, crayola"
100D3200_DSC_0546,"love,assertive,call to action",,"text, font, design, pattern, writing",,,,,,,,"@trump ,it is nice to be important but it's more important to be nice - dwayne ""the rock"" johnson",,Niceness,call to action,"quote, dwayne johnson",assertive,love,"block, hand-written",text,"marker, crayola"
100D3200_DSC_0547,"resistance,assertive,demand",,"text, font, art, advertising",,,"respect, resistance, existence",,,,,respect my existence or expect my resistance,,Respect My Existence,demand,famous protest slogan,assertive,resistance,block,text,stickers
100D3200_DSC_0548,"hillary clinton,trump,assertive,solidarity",,"text, design, drawing, font, line",,,,,,,,"i'm with her",arrows,With So Many Girls and Women,solidarity,"hillary, hillary quote",assertive,"hillary clinton, trump","block, hand-written","text, illustration",marker
100D3200_DSC_0549,"gender equality,lgbtq,migrant rights,women's rights,assertive,solidarity",,"text, font, sign, signage, advertising",,,,,,,,stand together women people of color lgbtq immigrants muslims ,,Stand Together,solidarity,other,assertive,"gender equality, lgbtq, migrant rights, women's rights","block, hand-written",text,"marker, letters, sticker letters"
100D3200_DSC_0550,"resistance,assertive,call to action",,"text, sign, signage, font, design",,,"stand, together",,,,,stand together,,Stand Together,call to action,other,assertive,resistance,block,text,marker
100D3200_DSC_0551,"election,institutions/supreme court/political parties,trump,assertive,complaint",,"text, font, orange, sign, art",,,"election,civic engagement,activism,vote",,,,,I see I listen I vote / So watch it!,,I see I listen I vote,complaint,famous protest slogan,assertive,"election, institutions/supreme court/political parties, trump",hand-written,text,paint
